Complexity metrics,Sat, 28 Mar 2026 14:21:21 EDT
Method,CogC,ev(G),iv(G),v(G)
"com.university.project.legendsofswordandwand.DemoDataLoader.addGold(Party, int)",0,1,1,1
"com.university.project.legendsofswordandwand.DemoDataLoader.addHero(Party, String, HeroClass, int, HybridClass, int, int, ...)",0,1,1,1
com.university.project.legendsofswordandwand.DemoDataLoader.buildSavedParty(User),0,1,1,1
"com.university.project.legendsofswordandwand.DemoDataLoader.createUser(String, String)",0,1,1,1
com.university.project.legendsofswordandwand.DemoDataLoader.run(String...),0,1,1,1
com.university.project.legendsofswordandwand.DemoDataLoader.seedItems(),1,2,1,2
com.university.project.legendsofswordandwand.LegendsOfSwordAndWandApplication.main(String[]),0,1,1,1
com.university.project.legendsofswordandwand.LegendsOfSwordAndWandApplicationTests.contextLoads(),0,1,1,1
com.university.project.legendsofswordandwand.battle.AbilityExecutor.applyManaBurn(BattleUnit),0,1,1,1
"com.university.project.legendsofswordandwand.battle.AbilityExecutor.executeAbility(BattleUnit, BattleUnit, List<BattleUnit>, List<BattleUnit>, BattleState, int)",2,2,3,3
"com.university.project.legendsofswordandwand.battle.AbilityExecutor.maybeSneak(BattleUnit, BattleUnit, BattleState)",1,1,2,2
com.university.project.legendsofswordandwand.battle.BattleState.applyStun(Long),0,1,1,1
com.university.project.legendsofswordandwand.battle.BattleState.findUnit(long),6,5,3,5
com.university.project.legendsofswordandwand.battle.BattleState.getActiveUnit(),0,1,1,1
com.university.project.legendsofswordandwand.battle.BattleState.getLivingEnemyHeroes(),0,1,1,1
com.university.project.legendsofswordandwand.battle.BattleState.getLivingPlayerHeroes(),0,1,1,1
com.university.project.legendsofswordandwand.battle.BattleState.getShield(Long),0,1,1,1
com.university.project.legendsofswordandwand.battle.BattleState.isOver(),0,1,1,1
com.university.project.legendsofswordandwand.battle.BattleState.isStunned(Long),0,1,1,1
com.university.project.legendsofswordandwand.battle.BattleState.log(String),0,1,1,1
com.university.project.legendsofswordandwand.battle.BattleState.recordSnapshot(List<BattleUnit>),1,1,2,2
"com.university.project.legendsofswordandwand.battle.BattleState.setShield(Long, int)",0,1,1,1
com.university.project.legendsofswordandwand.battle.BattleState.tickStuns(),0,1,1,1
"com.university.project.legendsofswordandwand.battle.BattleUnit.BattleUnit(long, HeroSnapshot, boolean)",0,1,1,1
com.university.project.legendsofswordandwand.battle.BattleUnit.isAlive(),0,1,1,1
"com.university.project.legendsofswordandwand.battle.DamageCalculator.calculateDamage(int, int)",0,1,1,1
"com.university.project.legendsofswordandwand.battle.EnemyGenerator.Archetype.Archetype(String, int, int, int, int, int, int)",0,1,1,1
com.university.project.legendsofswordandwand.battle.EnemyGenerator.Archetype.attack(int),0,1,1,1
com.university.project.legendsofswordandwand.battle.EnemyGenerator.Archetype.defense(int),0,1,1,1
com.university.project.legendsofswordandwand.battle.EnemyGenerator.Archetype.hp(int),0,1,1,1
"com.university.project.legendsofswordandwand.battle.EnemyGenerator.EnemyType.EnemyType(String, Archetype)",0,1,1,1
com.university.project.legendsofswordandwand.battle.EnemyGenerator.buildEnemy(int),0,1,1,1
"com.university.project.legendsofswordandwand.battle.EnemyGenerator.distributeLevels(int, int, int)",8,3,4,5
"com.university.project.legendsofswordandwand.battle.EnemyGenerator.generate(int, int)",1,1,2,2
com.university.project.legendsofswordandwand.battle.HeroSnapshot.HeroSnapshot(Hero),0,1,1,1
com.university.project.legendsofswordandwand.battle.HeroSnapshot.isAlive(),0,1,1,1
com.university.project.legendsofswordandwand.battle.HeroStatCalculator.applyBaseGain(Hero),0,1,1,1
"com.university.project.legendsofswordandwand.battle.HeroStatCalculator.applyClassBonus(Hero, HeroClass)",0,1,1,1
"com.university.project.legendsofswordandwand.battle.HeroStatCalculator.applyClassBonusOnly(Hero, HeroClass)",0,1,1,1
"com.university.project.legendsofswordandwand.battle.HeroStatCalculator.applyLevelUp(Hero, HeroClass)",4,1,4,4
com.university.project.legendsofswordandwand.battle.HeroStatCalculator.calculateExpThreshold(int),2,2,1,2
com.university.project.legendsofswordandwand.battle.HeroStatCalculator.getStrategy(HeroClass),0,1,1,1
"com.university.project.legendsofswordandwand.battle.HybridClassResolver.resolve(HeroClass, HeroClass)",17,8,1,20
"com.university.project.legendsofswordandwand.battle.ability.AbilityFactory.resolve(HeroClass, HybridClass, int)",5,1,3,7
"com.university.project.legendsofswordandwand.battle.ability.AbilityFactory.resolveChaos(HybridClass, int)",1,1,1,2
"com.university.project.legendsofswordandwand.battle.ability.AbilityFactory.resolveOrder(HybridClass, int)",6,3,1,5
